Ticker,Name,Exchange,Category Name,Country,Name [Ticker]
TIDEWATER.NS,"Tide Water Oil Co. (India), Ltd.",NSE,Oil & Gas Refining & Marketing,India,"Tide Water Oil Co. (India), Ltd. [TIDEWATER.NS]"
TECHM.NS,Tech Mahindra Limited,NSE,Information Technology Services,India,Tech Mahindra Limited [TECHM.NS]
TATAMOTORS.NS,Tata Motors Limited,NSE,Auto Manufacturers - Major,India,Tata Motors Limited [TATAMOTORS.NS]
TATACHEM.NS,Tata Chemicals Limited,NSE,Chemicals - Major Diversified,India,Tata Chemicals Limited [TATACHEM.NS]
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,NSE,Drugs - Generic,India,Sun Pharmaceutical Industries Limited [SUNPHARMA.NS]
SUJANAUNI.NS,Sujana Universal Industries Limited,NSE,Steel & Iron,India,Sujana Universal Industries Limited [SUJANAUNI.NS]
SUBROS.NS,Subros,NSE,Auto Parts,India,Subros [SUBROS.NS]
SOUTHBANK.NS,The South Indian Bank Limited,NSE,Money Center Banks,India,The South Indian Bank Limited [SOUTHBANK.NS]
SKFINDIA.NS,SKF India Limited,NSE,Diversified Machinery,India,SKF India Limited [SKFINDIA.NS]
SIEMENS.NS,Siemens Limited,NSE,Diversified Machinery,India,Siemens Limited [SIEMENS.NS]
MURLIIND.NS,Murli Industries Ltd.,NSE,,India,Murli Industries Ltd. [MURLIIND.NS]
MINDTREE.NS,Mindtree Limited,NSE,Information Technology Services,India,Mindtree Limited [MINDTREE.NS]
MINDAIND.NS,Minda Industries Limited,NSE,,India,Minda Industries Limited [MINDAIND.NS]
MEGASOFT.NS,Megasoft Limited,NSE,Technical & System Software,India,Megasoft Limited [MEGASOFT.NS]
MCDOWELL-N.NS,UNITED SPIRITS INR10,NSE,,India,UNITED SPIRITS INR10 [MCDOWELL-N.NS]
MAGNUM.NS,Magnum Ventures Limited,NSE,Paper & Paper Products,India,Magnum Ventures Limited [MAGNUM.NS]
SABTN.NS,Sri Adhikari Brothers Television Network Limited,NSE,Broadcasting - TV,India,Sri Adhikari Brothers Television Network Limited [SABTN.NS]
PNC.NS,Pritish Nandy Communications Ltd,NSE,Entertainment - Diversified,India,Pritish Nandy Communications Ltd [PNC.NS]
NTPC.NS,NTPC Limited,NSE,Diversified Utilities,India,NTPC Limited [NTPC.NS]
NCLIND.NS,NCL Industries Limited,NSE,General Building Materials,India,NCL Industries Limited [NCLIND.NS]
NBCC.NS,NBCC (India) Limited,NSE,General Contractors,India,NBCC (India) Limited [NBCC.NS]
UNITEDTEA.NS,The United Nilgiri Tea Estates Company Limited,NSE,Beverages - Soft Drinks,India,The United Nilgiri Tea Estates Company Limited [UNITEDTEA.NS]
RAMANEWS.NS,Shree Rama Newsprint Limited,NSE,Paper & Paper Products,India,Shree Rama Newsprint Limited [RAMANEWS.NS]
NMDC.NS,NMDC Limited,NSE,Steel & Iron,India,NMDC Limited [NMDC.NS]
NIITLTD.NS,NIIT Limited,NSE,Information Technology Services,India,NIIT Limited [NIITLTD.NS]
NHPC.NS,NHPC Limited,NSE,Electric Utilities,India,NHPC Limited [NHPC.NS]
NELCO.NS,Nelco Limited,NSE,Communication Equipment,India,Nelco Limited [NELCO.NS]
NELCAST.NS,Nelcast Limited,NSE,Metal Fabrication,India,Nelcast Limited [NELCAST.NS]
NECCLTD.NS,North Eastern Carrying Corporation Limited,NSE,Railroads,India,North Eastern Carrying Corporation Limited [NECCLTD.NS]
CONCOR.NS,Container Corporation of India Limited,NSE,Air Delivery & Freight Services,India,Container Corporation of India Limited [CONCOR.NS]
UNIONBANK.NS,Union Bank of India,NSE,Money Center Banks,India,Union Bank of India [UNIONBANK.NS]
STOREONE.NS,SORIL Infra Resources Limited,NSE,,India,SORIL Infra Resources Limited [STOREONE.NS]
OUDHSUG.NS,The Oudh Sugar Mills Limited,NSE,Confectioners,India,The Oudh Sugar Mills Limited [OUDHSUG.NS]
ORBITCORP.NS,Orbit Corporation Limited,NSE,Real Estate Development,India,Orbit Corporation Limited [ORBITCORP.NS]
OMAXE.NS,Omaxe Limited,NSE,Real Estate Development,India,Omaxe Limited [OMAXE.NS]
OMAXAUTO.NS,Omax Autos Limited,NSE,Auto Parts,India,Omax Autos Limited [OMAXAUTO.NS]
OIL.NS,Oil India Limited,NSE,Independent Oil & Gas,India,Oil India Limited [OIL.NS]
OBEROIRLTY.NS,Oberoi Realty Limited,NSE,Property Management,India,Oberoi Realty Limited [OBEROIRLTY.NS]
MCX.NS,Multi Commodity Exchange of India Limited,NSE,Asset Management,India,Multi Commodity Exchange of India Limited [MCX.NS]
M100.NS,Motilal Oswal MOSt Shares Midcap 100 ETF,NSE,,India,Motilal Oswal MOSt Shares Midcap 100 ETF [M100.NS]
LAOPALA.NS,La Opala RG Limited,NSE,Home Furnishings & Fixtures,India,La Opala RG Limited [LAOPALA.NS]
BIRLAERIC.NS,Birla Cable Limited,NSE,,India,Birla Cable Limited [BIRLAERIC.NS]
BANKINDIA.NS,Bank of India Limited,NSE,Money Center Banks,India,Bank of India Limited [BANKINDIA.NS]
BANG.NS,Bang Overseas Limited,NSE,Textile - Apparel Clothing,India,Bang Overseas Limited [BANG.NS]
ABAN.NS,Aban Offshore Limited,NSE,Oil & Gas Drilling & Exploration,India,Aban Offshore Limited [ABAN.NS]
ONWARDTEC.NS,Onward Technologies Limited,NSE,Information Technology Services,India,Onward Technologies Limited [ONWARDTEC.NS]
SHIV-VANI-EQ.NS,SHIV-VANI-EQ.NS,NSE,,India,SHIV-VANI-EQ.NS [SHIV-VANI-EQ.NS]
SABERORGA.NS,SABERO ORGANICS GUJRAT,NSE,,India,SABERO ORGANICS GUJRAT [SABERORGA.NS]
TCI.NS,Transport Corporation of India Limited,NSE,Air Delivery & Freight Services,India,Transport Corporation of India Limited [TCI.NS]
ORIENTBELL.NS,Orient Bell Limited,NSE,General Building Materials,India,Orient Bell Limited [ORIENTBELL.NS]
ORTINLABSS-BE.NS,Ortin Laboratories Ltd,NSE,,India,Ortin Laboratories Ltd [ORTINLABSS-BE.NS]
ORBTEXP-EQ.NS,ORBIT EXPORTS LTD INR10,NSE,,India,ORBIT EXPORTS LTD INR10 [ORBTEXP-EQ.NS]
SVOGL.NS,SVOGL Oil Gas and Energy Limited,NSE,Independent Oil & Gas,India,SVOGL Oil Gas and Energy Limited [SVOGL.NS]
QUINTEGRA.NS,Quintegra Solutions Limited,NSE,Information Technology Services,India,Quintegra Solutions Limited [QUINTEGRA.NS]
QUICKHEAL.NS,Quick Heal Technologies Limited,NSE,,India,Quick Heal Technologies Limited [QUICKHEAL.NS]
QGOLDHALF.NS,Quantum Gold ETF,NSE,,India,Quantum Gold ETF [QGOLDHALF.NS]
QUINTEGRA-EQ.NS,QUINTEGRA SOLUTIONS LTD.,NSE,,India,QUINTEGRA SOLUTIONS LTD. [QUINTEGRA-EQ.NS]
QNIFTY.NS,Quantum Index ETF,NSE,,India,Quantum Index ETF [QNIFTY.NS]
RUCHISOYA.NS,Ruchi Soya Industries Limited,NSE,Food - Major Diversified,India,Ruchi Soya Industries Limited [RUCHISOYA.NS]
INDOCO.NS,Indoco Remedies Limited,NSE,Drugs - Generic,India,Indoco Remedies Limited [INDOCO.NS]
GOKUL-BE.NS,GOKUL REFOILS & SO INR2,NSE,,India,GOKUL REFOILS & SO INR2 [GOKUL-BE.NS]
TEXRAIL.NS,Texmaco Rail & Engineering Limited,NSE,Diversified Machinery,India,Texmaco Rail & Engineering Limited [TEXRAIL.NS]
UTTAMVALUE.NS,Uttam Value Steels Limited,NSE,Steel & Iron,India,Uttam Value Steels Limited [UTTAMVALUE.NS]
UTTAMSTL.NS,Uttam Galva Steels Limited,NSE,Steel & Iron,India,Uttam Galva Steels Limited [UTTAMSTL.NS]
USHAMART.NS,Usha Martin Limited,NSE,Steel & Iron,India,Usha Martin Limited [USHAMART.NS]
UNITECH.NS,Unitech Limited,NSE,Real Estate Development,India,Unitech Limited [UNITECH.NS]
UNIPLY.NS,Uniply Industries Limited,NSE,"Lumber, Wood Production",India,Uniply Industries Limited [UNIPLY.NS]
UNIENTER.NS,Uniphos Enterprises Ltd.,NSE,,India,Uniphos Enterprises Ltd. [UNIENTER.NS]
UMESLTD.NS,Usha Martin Education & Solutions Limited,NSE,Education & Training Services,India,Usha Martin Education & Solutions Limited [UMESLTD.NS]
